source_record_id,po_so_number,asn_dn_number,project_code,destination_country,managed_by,fulfill_via,incoterm,shipment_mode_raw,shipment_mode,missing_mode_flag,pq_first_sent_date,po_sent_date,scheduled_delivery_date,actual_delivery_date,delivery_recorded_date,product_group_raw,sub_classification_raw,product_category,vendor_name,item_description_raw,manufacturing_site,first_line_designation,unit_of_measure_per_pack,line_item_quantity,line_item_value_usd,pack_price_usd,unit_price_usd,weight_kg,weight_source,freight_cost_usd,freight_cost_source,line_item_insurance_usd,reporting_scheduled_delivery_date,reporting_actual_delivery_date
64,SCMS-268,ASN-242,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,SOLAR_MODULE,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Cipla, Goa, India",1,60,10000,99800.0,9.98,0.17,7416.0,direct,64179.42,direct,,2017-02-27,2017-02-27
65,SCMS-274,ASN-162,106-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV test,BATTERY_ESS,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",ABBVIE GmbH & Co.KG Wiesbaden,1,100,750,60000.0,80.0,0.8,256.0,direct,1760.32,direct,,2017-01-18,2017-01-18
68,SCMS-308,ASN-285,113-ZW-T01,Zimbabwe,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2007-03-19,2007-03-19,2007-03-19,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs","BMS Meymac, France",1,60,579,14764.5,25.5,0.42,,missing_captured_separately,,missing_included_in_commodity,,2017-03-19,2017-03-19
69,SCMS-354,ASN-608,102-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,,,1,,,2007-05-07,2007-05-07,2007-05-07,HRDT,HIV test,BATTERY_ESS,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",ABBVIE GmbH & Co.KG Wiesbaden,1,100,1500,120000.0,80.0,0.8,,missing_captured_separately,,missing_included_in_commodity,192.0,2017-05-07,2017-05-07
80,SCMS-488,ASN-299,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,BATTERY_ESS,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",Premier Med. Corp Ltd. India,1,30,2000,33000.0,16.5,0.55,710.0,direct,3120.7,direct,,2017-03-29,2017-03-29
87,SCMS-555,ASN-409,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml","BMS Meymac, France",1,200,712,8964.08,12.59,0.06,162.0,direct,912.96,direct,,2017-06-06,2017-06-06
92,SCMS-592,ASN-485,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,BATTERY_ESS,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",ABBVIE GmbH & Co.KG Wiesbaden,1,100,1000,80000.0,80.0,0.8,341.0,direct,2682.47,direct,128.0,2017-06-19,2017-06-19
96,SCMS-570,ASN-451,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,BATTERY_ESS,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Chembio Diagnostics Sys. Inc.,1,20,7500,202500.0,27.0,1.35,2278.0,direct,15893.71,direct,,2017-06-19,2017-06-19
108,SCMS-698,ASN-727,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs","BMS Meymac, France",1,60,5513,140581.5,25.5,0.42,2126.0,direct,,missing_included_in_commodity,224.93,2017-10-02,2017-10-02
115,SCMS-753,ASN-781,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,INVERTER,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml","Aurobindo Unit III, India",1,240,1000,1920.0,1.92,0.01,941.0,direct,4193.49,direct,3.07,2017-10-15,2017-10-15
116,SCMS-759,ASN-632,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,Air,AIR,0,,,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,SOLAR_MODULE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE Ludwigshafen Germany,1,120,500,41095.0,82.19,0.68,117.0,direct,1767.38,direct,65.75,2017-08-27,2017-08-27
130,SCMS-10080,ASN-628,100-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-08-13,2007-08-21,2007-08-21,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,750,53992.5,71.99,0.72,171.0,direct,3518.38,direct,86.39,2017-08-13,2017-08-21
134,SCMS-10130,ASN-616,100-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV test,BATTERY_ESS,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","Pacific Biotech, Thailand",1,100,25,8750.0,350.0,3.5,60.0,direct,3097.85,direct,14.0,2017-08-25,2017-08-25
138,SCMS-10270,ASN-710,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-10-16,2007-10-16,2007-10-16,HRDT,HIV test,BATTERY_ESS,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","Standard Diagnostics, Korea",1,25,10000,200000.0,20.0,0.8,3335.0,direct,27869.74,direct,320.0,2017-10-16,2017-10-16
139,SCMS-10290,ASN-788,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,BATTERY_ESS,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","Standard Diagnostics, Korea",1,25,10000,200000.0,20.0,0.8,3335.0,direct,28461.1,direct,320.0,2017-11-22,2017-11-22
140,SCMS-10300,ASN-856,109-TZ-T01,Tanzania,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,BATTERY_ESS,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","Standard Diagnostics, Korea",1,25,10000,200000.0,20.0,0.8,3335.0,direct,28359.8,direct,320.0,2017-11-22,2017-11-22
161,SCMS-11070,ASN-916,117-ET-T01,Ethiopia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-11-20,2007-11-20,2007-11-20,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps","Aurobindo Unit III, India",1,60,64000,99200.0,1.55,0.03,4228.0,direct,12237.61,direct,158.72,2017-11-20,2017-11-20
176,SCMS-11750,ASN-745,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2007-10-03,2007-10-03,2007-10-03,HRDT,HIV test,BATTERY_ESS,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Chembio Diagnostics Sys. Inc.,1,20,10000,270000.0,27.0,1.35,3263.0,direct,20885.78,direct,432.0,2017-10-03,2017-10-03
262,SCMS-14050,ASN-1251,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,,,1,,,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,INVERTER,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",GSK Mississauga (Canada),1,200,40,317.6,7.94,0.04,,missing_captured_separately,,missing_included_in_commodity,0.51,2018-01-29,2018-01-29
269,SCMS-14190,ASN-1192,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SOLAR_MODULE,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Gilead(Nycomed) Oranienburg DE,1,30,1000,17000.0,17.0,0.57,76.0,direct,2282.57,direct,27.2,2018-01-21,2018-01-21
270,SCMS-14200,ASN-1171,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SOLAR_MODULE,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs","Ranbaxy, Paonta Shahib, India",1,60,400,3352.0,8.38,0.14,23.0,direct,2149.05,direct,5.36,2018-01-21,2018-01-21
284,SCMS-14630,ASN-1253,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-01-31,2008-01-31,2008-01-31,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Inverness Japan,1,100,1500,15.0,0.01,0.0,99.0,direct,0.75,direct,0.02,2018-01-31,2018-01-31
305,SCMS-15550,ASN-1269,123-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-02-05,2008-02-05,2008-02-05,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Inverness Japan,1,100,650,6.5,0.01,0.0,,missing_captured_separately,,missing_invoiced_separately,0.01,2018-02-05,2018-02-05
343,SCMS-16600,ASN-1520,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,,,1,,,2008-01-21,2008-01-04,2008-01-04,ARV,Pediatric,INVERTER,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","BMS Meymac, France",1,200,200,340.0,1.7,0.01,,missing_captured_separately,,missing_included_in_commodity,0.54,2018-01-21,2018-01-04
361,SCMS-14080,ASN-1318,125-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-02-18,2008-02-18,2008-02-18,HRDT,HIV test,BATTERY_ESS,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","Trinity Biotech, Plc",1,100,2,278.0,139.0,1.39,,missing_captured_separately,,missing_invoiced_separately,0.44,2018-02-18,2018-02-18
391,SCMS-18290,ASN-1879,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-06-17,2008-06-17,2008-06-17,HRDT,HIV test,BATTERY_ESS,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Bio-Rad Laboratories,1,40,476,36176.0,76.0,1.9,509.0,direct,5446.51,direct,57.88,2018-06-17,2018-06-17
392,SCMS-18310,ASN-3435,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-03-19,2009-03-19,2009-03-19,HRDT,HIV test,BATTERY_ESS,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","Standard Diagnostics, Korea",1,25,659,13180.0,20.0,0.8,206.0,direct,2656.12,direct,25.83,2019-03-19,2019-03-19
398,SCMS-18480,ASN-1502,102-GY-T01,Guyana,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-04-09,2008-04-01,2008-04-01,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Inverness Japan,1,100,240,2.4,0.01,0.0,,missing_captured_separately,,missing_invoiced_separately,0.0,2018-04-09,2018-04-01
399,SCMS-18500,ASN-2117,102-GY-T01,Guyana,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Inverness Japan,1,100,213,2.13,0.01,0.0,14.0,direct,360.0,direct,0.0,2018-07-28,2018-07-28
400,SCMS-18430,ASN-1465,117-ET-T01,Ethiopia,PMO - US,Direct Drop,DDP,,,1,,,2008-03-11,2008-03-11,2008-03-11,HRDT,HIV test,BATTERY_ESS,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit, 100 Tests","Trinity Biotech, Plc",1,100,63,13399.25,212.69,2.13,,missing_captured_separately,,missing_included_in_commodity,21.44,2018-03-11,2018-03-11
410,SCMS-18870,ASN-2434,113-ZW-T01,Zimbabwe,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-11-17,2008-11-17,2008-11-17,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,1634,117631.66,71.99,0.72,373.0,direct,4112.46,direct,188.21,2018-11-17,2018-11-17
411,SCMS-18940,ASN-1467,123-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-04-17,2008-04-17,2008-04-17,HRDT,HIV test,BATTERY_ESS,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Chembio Diagnostics Sys. Inc.,1,20,1425,38475.0,27.0,1.35,483.0,direct,5468.88,direct,61.56,2018-04-17,2018-04-17
414,SCMS-19130,ASN-1798,119-NA-T01,Namibia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-06-04,2008-06-04,2008-06-04,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,142,10222.58,71.99,0.72,33.0,direct,1715.17,direct,16.36,2018-06-04,2018-06-04
420,SCMS-19490,ASN-1753,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,SOLAR_MODULE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Mylan (formerly Matrix) Nashik,1,30,8400,96432.0,11.48,0.38,654.0,direct,4051.34,direct,154.29,2018-06-03,2018-06-03
422,SCMS-19800,ASN-1665,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-04-24,2008-04-24,2008-04-24,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Roche Basel,1,270,6,405.06,67.51,0.25,,missing_captured_separately,,missing_included_in_commodity,0.65,2018-04-24,2018-04-24
423,SCMS-19800,ASN-1665,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-04-24,2008-04-24,2008-04-24,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","BMS Meymac, France",0,200,600,870.0,1.45,0.01,,missing_captured_separately,,missing_included_in_commodity,1.39,2018-04-24,2018-04-24
438,SCMS-20310,ASN-1923,108-VN-T01,Vietnam,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","BMS Meymac, France",1,60,400,2800.0,7.0,0.12,81.0,direct,2211.05,direct,4.48,2018-07-12,2018-07-12
459,SCMS-21460,ASN-1667,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,,,1,,,2008-04-25,2008-04-07,2008-04-07,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","BMS Meymac, France",1,60,6,77.1,12.85,0.21,,missing_captured_separately,,missing_included_in_commodity,0.12,2018-04-25,2018-04-07
464,SCMS-21540,ASN-2008,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-07-09,2008-07-09,2008-07-09,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,5498,439785.02,79.99,0.8,1251.0,direct,16090.22,direct,703.66,2018-07-09,2018-07-09
465,SCMS-21540,ASN-2011,102-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-07-09,2008-07-04,2008-07-04,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Inverness Japan,1,100,5498,54.98,0.01,0.0,,missing_captured_separately,,missing_invoiced_separately,0.09,2018-07-09,2018-07-04
466,SCMS-21550,ASN-1741,117-ET-T01,Ethiopia,PMO - US,Direct Drop,DDP,Air,AIR,0,,,2008-05-09,2008-05-09,2008-05-09,HRDT,HIV test,BATTERY_ESS,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","Trinity Biotech, Plc",1,20,15,691.42,46.09,2.3,,missing_captured_separately,,missing_included_in_commodity,1.11,2018-05-09,2018-05-09
530,SCMS-23450,ASN-2336,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,SOLAR_MODULE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Mylan (formerly Matrix) Nashik,1,30,1344,18359.04,13.66,0.46,1537.0,direct,13507.92,direct,29.37,2018-09-19,2018-09-19
531,SCMS-23500,ASN-2783,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps","BMS Meymac, France",1,60,20,103.4,5.17,0.09,,missing_captured_separately,,missing_included_in_commodity,0.2,2018-08-20,2018-08-20
532,SCMS-23500,ASN-2293,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-08-20,2008-05-08,2008-05-08,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","BMS Meymac, France",1,30,100,1906.0,19.06,0.64,,missing_captured_separately,,missing_included_in_commodity,3.05,2018-08-20,2018-05-08
533,SCMS-23500,ASN-2293,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-08-20,2008-05-08,2008-05-08,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","BMS Meymac, France",0,200,670,1025.1,1.53,0.01,,missing_captured_separately,,missing_included_in_commodity,1.64,2018-08-20,2018-05-08
535,SCMS-23610,ASN-2167,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2008-09-02,2008-09-02,2008-09-02,ARV,Adult,SOLAR_MODULE,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","BMS Meymac, France",1,30,2597,61470.99,23.67,0.79,117.0,direct,645.1,direct,98.35,2018-09-02,2018-09-02
543,SCMS-23840,ASN-2504,106-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-09-30,2008-09-30,2008-09-30,HRDT,HIV test,BATTERY_ESS,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","Pacific Biotech, Thailand",1,100,28,9800.0,350.0,3.5,109.0,direct,782.13,direct,15.68,2018-09-30,2018-09-30
551,SCMS-24020,ASN-2865,106-HT-T01,Haiti,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-11-24,2008-11-24,2008-11-24,HRDT,HIV test,BATTERY_ESS,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","Trinity Biotech, Plc",1,100,84,11676.0,139.0,1.39,54.0,direct,871.57,direct,22.88,2018-11-24,2018-11-24
